time,attitude_roll,attitude_pitch,attitude_yaw,gravity_x,gravity_y,gravity_z,rotationRate_x,rotationRate_y,rotationRate_z,userAcceleration_x,userAcceleration_y,userAcceleration_z
173, 56, -216, -126, 126, 73, 170, 11, 35, 319, 2371, -665, 3272
175, 6, -5, 6, 91, 158, 10, 9, 38, 320, 2536, -520, 3173
177, 483, -411, -156, 173, -1, 437, 7, 39, 320, 2593, -418, 3142
179, 1392, -143, 373, -841, 464, -197, -34, 39, 309, 2624, 1791, 2584
181, -239, 384, 589, -459, -776, -374, -13, 55, 274, 3372, 537, 2260
182, -245, 220, 221, 71, -313, -40, -5, 54, 271, 3359, 235, 2331
183, 115, 57, -182, -13, -18, 120, -5, 53, 272, 3311, 213, 2401
184, 66, 502, -1220, 1036, -425, 9, -12, 50, 278, 3193, 567, 2500
185, 309, 1074, -2038, 175, -68, -52, -29, 36, 295, 2416, 1634, 2875
186, 645, 929, -1632, -297, 123, -301, -40, 16, 312, 1170, 2531, 2999
187, 683, 819, -1475, -225, 58, -48, -47, -1, 325, -113, 3040, 2742
188, 568, 1092, -1279, -543, -139, -557, -53, -18, 336, -1324, 3145, 2263
189, 308, 508, -550, -218, -103, -211, -59, -31, 343, -2130, 3022, 1759
190, 175, 477, -343, 16, 3, -310, -64, -38, 347, -2551, 2886, 1391
191, -128, -336, 181, 102, -514, -406, -66, -40, 347, -2663, 2852, 1241
192, -451, -3099, 1933, -887, -692, -807, -56, -24, 345, -1683, 3114, 2059
193, -133, -1369, 2193, 694, 398, -92, -53, 14, 335, 1047, 3187, 2349
194, -35, 171, 1242, -701, 583, -7, -47, 27, 320, 1904, 2694, 2426
195, -2, -171, 1679, -692, -202, 33, -39, 37, 303, 2504, 2039, 2519
196, -268, -474, 1594, 1042, -789, -52, -22, 47, 284, 3020, 1041, 2563
197, -194, 330, 455, 368, -224, -104, -7, 49, 275, 3129, 365, 2617
198, -112, 56, 245, 121, -184, -100, 0, 49, 272, 3108, 35, 2667
199, -120, 108, 166, 227, 21, -71, 0, 48, 271, 3096, -32, 2681
200, -315, 217, 178, 523, -277, -226, 4, 48, 268, 3073, -195, 2700
201, 292, -183, -1365, 560, -670, -547, -3, 51, 273, 3227, 133, 2518
202, 126, -11, -2094, -223, -808, -247, -27, 43, 293, 2804, 1365, 2655
203, 0, 0, 0, 0, 0, 0, -39, 36, 313, 2444, 2065, 2556
